accession,uniprot_name,gene,observed_max_density,mean_randomized_max_density,density_difference,empirical_p_value,n_permutations,evidence_interpretation
P42336,PK3CA_HUMAN,PIK3CA,0.6,0.5055,0.09450000000000003,0.209,1000,"Observed clustering is higher than randomized expectation, but not statistically strong"
P04637,P53_HUMAN,TP53,0.5,0.4128,0.0872,0.242,1000,"Observed clustering is higher than randomized expectation, but not statistically strong"
P60484,PTEN_HUMAN,PTEN,0.5,0.4757,0.02429999999999999,0.624,1000,"Observed clustering is higher than randomized expectation, but not statistically strong"
P07203,GPX1_HUMAN,GPX1,0.3,0.2802,0.019799999999999984,0.675,1000,"Observed clustering is higher than randomized expectation, but not statistically strong"
Q06830,PRDX1_HUMAN,PRDX1,0.4,0.423,-0.022999999999999965,0.888,1000,Observed clustering does not exceed randomized expectation
P04406,G3P_HUMAN,GAPDH,0.4,0.4228,-0.022799999999999987,0.904,1000,Observed clustering does not exceed randomized expectation
P10599,THIO_HUMAN,TXN,0.4,0.4373,-0.0373,0.909,1000,Observed clustering does not exceed randomized expectation
P04040,CATA_HUMAN,CAT,0.4,0.4282,-0.028200000000000003,0.931,1000,Observed clustering does not exceed randomized expectation
P00441,SODC_HUMAN,SOD1,0.3,0.4266,-0.1266,1,1000,Observed clustering does not exceed randomized expectation
P31749,AKT1_HUMAN,AKT1,0.3,0.4439,-0.14390000000000003,1,1000,Observed clustering does not exceed randomized expectation
